route,route_flow
"[5122, 5100, 9156, 5100, 5122, 8352, 5012, 5021, 9163, 5010, 4927, 5010, 9163, 9162, 5082, 5123, 5082, 5021, 4950, 4907, 4893, 4808, 4806, 4835, 4854]",20
"[4927, 4806, 4808, 4893, 4927, 4806, 4808, 4893, 4927, 5010, 9163, 5010, 4927, 4806, 4808]",20
"[5082, 5123, 5122, 9174, 5190, 5193, 5217, 5247, 8368, 5429, 9032, 9031, 9022]",20
"[9113, 9111, 9112, 8347, 5105, 8348, 5055, 4972, 4899, 4794, 4742, 4690, 4650, 4708]",20
"[4609, 4645, 4666, 4713, 4794, 9173, 4708, 4680, 4671, 4660, 4689, 4662, 4651, 4635, 4664, 4635, 4651, 4662, 4689, 4819, 4855, 4920]",20
"[4689, 4694, 4808, 4893, 4927, 5010, 9163, 9162, 5126, 9176, 9175, 5123, 5082, 5021, 5012, 4938]",20
"[4806, 4927, 5010, 9163, 9162, 5126, 9162, 9163, 5010, 4907, 4893, 4879, 4819, 4671, 4605]",20
"[4835, 4944, 4927, 5010, 4907, 4893, 4808, 4694, 4697, 4651, 4635, 4664, 4634, 4642]",20
"[4651, 4697, 4706, 4697, 4806, 4808, 4893, 4879, 4819, 4855, 4920, 9173, 4794, 4713]",20
"[9163, 9162, 5126, 9176, 9175, 5123, 5082, 5021, 5082, 5123, 5126, 9162, 9163, 5010, 4927, 4944, 4835]",20
"[4724, 4706, 4697, 4806, 4927, 5010, 9163, 9162, 5082, 5123, 5122, 5100, 9156]",40
"[4660, 4589, 4605, 4671, 4819, 4879, 4938, 4950, 4907, 4893, 4808, 4694, 4689, 4660, 4589, 4605, 4521, 4539, 4616]",20
"[4806, 4927, 5010, 9163, 9162, 5082, 5021, 4950, 4907, 4893, 4808, 4806, 4835, 4854]",20
"[4835, 4944, 4927, 4893, 4879, 4819, 4855, 4920, 5055, 8348, 5105, 8347, 9112, 9111, 9113]",20
"[5126, 9162, 9163, 5010, 4927, 4806, 4835, 4944, 4927, 5010, 9163, 9162, 5126]",20
"[5123, 5082, 5021, 4950, 4907, 4893, 4808, 4694, 4662, 4651, 4635, 4651, 4697, 4706, 4724, 4732, 4745, 4663]",20
"[5100, 5120, 9158, 9156, 5100, 5122, 8352, 5012, 5021, 9163, 5010, 4927, 4806]",100
"[4697, 4806, 4808, 4893, 4907, 4950, 5021, 5082, 5021, 9163, 5010, 4927, 4944, 4835]",20
"[5217, 5193, 5190, 9174, 5122, 8352, 5012, 4938, 4879, 4819, 4671, 4660, 4689, 4694, 4697]",40
